AGENCYNAME,STATE,budget_2013,budget_2016,OPBUDGET_2019,OPBUDGET2020,opbudget_2021_2022
thornton police department,CO,27549294,31679650,37724908,39615000,40871
westminster police department,CO,NA,23845174,NA,NA,27742000
columbine valley police department,CO,NA,NA,NA,NA,NA
boulder police department,CO,29593231,33929789,36456641,38269082,39262000
longmont police department,CO,22285910,26628051,3.8e+07,3.8e+07,2600000
antonito police department,CO,NA,NA,350000,350000,NA
la jara police department,CO,NA,142000,NA,NA,NA
colorado springs police department,CO,92822328,105604116,130833487,140745909,158800000
green mountain falls marshal's office,CO,NA,NA,76900,87300,NA
florence police department,CO,NA,NA,1617015,1271076,NA
black hawk police department,CO,NA,NA,4306663,5100000,4333000
gunnison police department,CO,NA,NA,626099,627087,2512000
la veta marshal's office,CO,NA,NA,130000,130000,NA
arvada police department,CO,NA,NA,38534561,39254560,NA
edgewater police department,CO,NA,NA,2373915,2531318,NA
lakewood police department,CO,40734913,49708797,57181860,57494677,61049000
burlington police department,CO,NA,NA,809725,832557,NA
estes park police department,CO,NA,4076554,5078364,5464619,5315000
fort collins police services,CO,34798907,39262993,NA,NA,54986000
loveland police department,CO,17211000,NA,24457482,25407854,25109000
grand junction police department,CO,12667150,28411752,NA,NA,32919000
fruita police department,CO,NA,NA,2134082,2494750,2268000
mancos marshal's office,CO,NA,NA,NA,NA,NA
brush police department,CO,NA,NA,1150000,1200000,NA
fort morgan police department,CO,NA,NA,3766680,4284897,3503000
la junta police department,CO,NA,1309300,1181246,1156098,NA
aspen police department,CO,NA,NA,5948835,5459880,5355000
snowmass village police department,CO,NA,NA,2187005,2227402,NA
pueblo police department,CO,26787316,27677815,30294053,31673058,32679000
meeker police department,CO,NA,NA,901852,973408,NA
cripple creek police department,CO,NA,NA,1426625,1304543,NA
greeley police department,CO,29059962,26377701,29005474,31500584,27776000
ault police department,CO,NA,NA,7e+05,750000,NA
lochbuie police department,CO,NA,NA,1305856,1381346,NA
broomfield police department,CO,21837207,24997117,29790081,32269951,30522000
denver police department,CO,196962557,212399351,244371249,254232367,297300000
ansonia police department,CT,NA,5941311,6637768,7062017,5470000
bridgeport police department,CT,43050154,NA,40131912,45077331,94393000
bristol police department,CT,13932000,14525010,NA,NA,18878000
cheshire police department,CT,NA,NA,5912317,6063274,6311000
danbury police department,CT,15415789,16895648,18349168,18558452,17456000
east hartford police department,CT,11645952,12574787,1.3e+07,1.3e+07,17027000
east lyme police department,CT,NA,NA,2900000,3100000,2687000
east windsor police department,CT,2078820,NA,3740000,3800000,NA
fairfield police department,CT,14713843,13317782,14850217,15197100,18504000
farmington police department,CT,NA,NA,7e+06,7200000,7701000
greenwich police department,CT,18843000,21534662,21938643,22535005,21584000
hamden police department,CT,11985445,NA,17993270,17043714,17703000
hartford police department,CT,36793817,4e+07,46627694,44948288,55646000
madison police department,CT,NA,NA,4757562,4866703,NA
manchester police department,CT,17976412,20056127,NA,NA,22520000
meriden police department,CT,1.3e+07,12999897,13221534,13346250,13611000
middlebury police department,CT,NA,NA,1626682,1881732,NA
middletown police department,CT,11425592,1.2e+07,15033881,14544593,15194000
milford police department,CT,9300000,12180809,13487289,13480218,15240000
montville police department,CT,NA,NA,NA,NA,NA
new britain police department,CT,1.5e+07,NA,18012018,18105437,42557000
new haven police department,CT,37440952,NA,NA,NA,40418000
new milford police department,CT,NA,NA,5057235,5239706,5650000
north haven police department,CT,NA,5239285,6097641,6522608,NA
norwalk police department,CT,18951761,22176591,25565588,26587733,24350000
old saybrook police services,CT,NA,NA,4894257,5198272,NA
prospect police department,CT,NA,NA,991891,1126564,NA
ridgefield police department,CT,NA,NA,4500000,5e+06,5745000
shelton police department,CT,NA,NA,7700000,7773812,6022000
stamford police department,CT,53389471,66340866,5.2e+07,52965565,41246000
stratford police department,CT,9900000,10085136,10957380,11260564,13331000
thomaston police department,CT,NA,NA,1200000,1150000,NA
waterbury police department,CT,2.8e+07,26332000,33449706,34558442,38568000
watertown police department,CT,NA,NA,5199684,5363946,5807000
west hartford police department,CT,1.5e+07,15313689,16664943,16737520,19217000
west haven police department,CT,NA,NA,NA,NA,1.6e+07
weston police department,CT,NA,NA,2100000,2344900,2289000
westport police department,CT,NA,NA,8887726,9016006,10695000
groton city police department,CT,NA,NA,5289625,5337679,8508000
metropolitan police department - dc,NA,442071368,546569785,559526918,545686633,516800000
dover police department,DE,NA,NA,17732932,18107063,18937000
new castle police department,DE,1600000,NA,NA,NA,NA
newark police department,DE,NA,NA,14667590,15783843,15562000
wilmington police department,DE,51564000,55454500,59835037,60608337,60300000
delaware city police department,DE,NA,NA,4e+05,4e+05,NA
bridgeville police department,DE,NA,NA,NA,NA,NA
lewes police department,DE,NA,NA,1452200,1426520,1445000
bethany beach police department,DE,NA,NA,1773000,1932000,2180000
dewey beach police department,DE,NA,1440469,NA,NA,833000
gainesville police department,FL,57949500,34516000,35107907,36330789,43048000
panama city police department,FL,NA,NA,12148812,12309400,10997000
lynn haven police department,FL,2900000,NA,3561960,4062423,NA
melbourne police department,FL,22957736,24038650,24580468,24697918,18706000
rockledge police department,FL,5116500,NA,6502800,6417392,NA
palm bay police department,FL,2e+07,19462846,22437189,22971528,20805000
fort lauderdale police department,FL,91459637,104934674,128073352,130978406,118976000
hollywood police department,FL,6.3e+07,75808342,103983015,99376829,93400000
plantation police department,FL,35360806,36687487,42308013,43335585,39458000
pembroke pines police department,FL,51270714,57246297,71988281,74852421,63406000
coconut creek police department,FL,NA,NA,2356680,2356680,22575000
davie police department,FL,3.6e+07,NA,5.2e+07,5.3e+07,48431000
lauderhill police department,FL,15125757,18094717,25126705,24099210,24337000
margate police department,FL,12882827,1.7e+07,21755868,22228701,NA
miramar police department,FL,36777300,44006680,54004383,54312400,47995000
sunrise police department,FL,41608572,4.3e+07,49318390,49648020,48158000
coral springs police department,FL,43833358,46622075,53705972,54939564,NA
green cove springs police department,FL,2300000,NA,3900000,4200000,3125000
miami-dade police department,FL,526265000,585310000,591686455,620458000,798301000
coral gables police department,FL,36996406,40049438,46830049,46844863,47569000
florida city police department,FL,NA,NA,NA,NA,NA
hialeah police department,FL,3.9e+07,50992336,56724640,53569190,6e+07
homestead police department,FL,21315131,24847168,27385683,29146731,24630000
miami police department,FL,156963000,NA,265621000,266173000,288100000
miami beach police department,FL,91992541,99605000,115174000,115167000,123541000
north miami beach police department,FL,18246180,21901817,25522938,26111550,25378000
doral police department,FL,NA,20551843,23790455,26013174,NA
north miami police department,FL,24169330,23300000,27990029,28035987,29374000
indian creek village public safety,FL,NA,1500000,2955518,2994563,NA
sweetwater police department,FL,NA,7637336,NA,NA,7599000
miami gardens police department,FL,NA,37133196,37038121,39822785,NA
jacksonville sheriff's office,FL,366768040,NA,481594597,484601110,382100000
neptune beach public safety department,FL,NA,NA,3332266,3596021,NA
pensacola police department,FL,18240000,NA,22609000,23667022,23395000
apalachicola police department,FL,NA,616665,603000,603000,NA
quincy police department,FL,NA,NA,2300000,2400000,NA
port saint joe police department,FL,NA,NA,945,957674,NA
jasper police department,FL,NA,NA,NA,NA,NA
tampa police department,FL,1.42e+08,148216804,162695004,184247618,164195000
sneads police department,FL,NA,NA,445453,403680,NA
eustis police department,FL,4695445,4904582,5384323,5803664,NA
leesburg police department,FL,NA,NA,NA,NA,9166000
fort myers police department,FL,31237460,34758800,51698000,50309000,56721000
cape coral police department,FL,33737129,33455335,55249170,61537200,43487000
tallahassee police department,FL,49622958,55951737,60942296,60937522,64452000
bradenton police department,FL,12500000,13940447,18497044,19666693,NA
ocala police department,FL,21571640,25283191,7753846,7482221,33511000
dunnellon police department,FL,NA,527000,NA,1242691,NA
apopka police department,FL,NA,NA,16180553,15956682,13431000
ocoee police department,FL,NA,NA,12500000,13202266,NA
orlando police department,FL,129602286,133018621,164406492,168450101,195300000
kissimmee police department,FL,17972228,20770321,25330118,27547792,25459000
boca raton police department,FL,39161400,42641700,56283900,58097300,6067000
boynton beach police department,FL,24648013,29461297,33507073,35576902,33760000
delray beach police department,FL,21721270,31391540,38257150,39049040,39520000
riviera beach police department,FL,13884829,16439000,20598013,23363181,22575000
west palm beach police department,FL,51364849,60192300,65062499,63389109,61240000
jupiter police department,FL,18292555,NA,24458660,24643761,23688000
lantana police department,FL,NA,NA,7796507,6674320,NA
north palm beach police department,FL,NA,NA,6456631,6376671,NA
palm beach gardens police department,FL,20937686,22915999,6556893,7141649,30614000
south palm beach public safety department,FL,NA,NA,NA,NA,NA
zephyrhills police department,FL,NA,NA,3833930,4038281,4392049
clearwater police department,FL,35700770,39781791,45096056,47259323,46081000
largo police department,FL,20301000,20056900,2.7e+07,2.7e+07,23952000
pinellas park police department,FL,NA,NA,17404241,18008153,16734000
saint petersburg police department,FL,91713404,1.05e+08,1.15e+08,1.18e+08,124900000
lakeland police department,FL,36301786,40100000,43520229,45152748,63948000
fort pierce police department,FL,12193521,13364012,14396550,15135717,15853000
port saint lucie police department,FL,35946511,40548291,49262328,51401259,46986000
sarasota police department,FL,NA,29610202,34831328,36473402,145924000
north port police department,FL,13354236,14734020,17777900,19565848,19168000
sanford police department,FL,12442508,13257244,16924942,17442042,18098000
lake mary police department,FL,NA,NA,5603221,5834526,6813000
daytona beach police department,FL,NA,30500000,38947920,40473012,37557000
ormond beach police department,FL,NA,NA,8900000,9100000,NA
lake helen police department,FL,425000,NA,550000,570000,NA
willacoochee police department,GA,NA,NA,275000,275000,NA
alma police department,GA,770350,NA,947900,947900,NA
cartersville police department,GA,NA,NA,6129280,6090390,5949000
kingston police department,GA,NA,NA,130000,160000,NA
euharlee police department,GA,NA,NA,426951,599191,NA
enigma police department,GA,NA,NA,NA,NA,NA
richmond hill police department,GA,NA,NA,NA,NA,3536000
waynesboro police department,GA,NA,NA,NA,NA,2051900
sardis police department,GA,312682,NA,NA,NA,NA
carrollton police department,GA,5986182,NA,8526622,8092450,8673000
homeland police department,GA,NA,NA,NA,NA,66819
winterville police department,GA,NA,NA,235000,240000,NA
forest park police department,GA,NA,NA,9644212,10966448,7652000
marietta police department,GA,1.3e+07,1.5e+07,17061168,17849143,16189000
douglas police department,GA,3433685,NA,3700000,4018298,3700000
pine lake police department,GA,NA,NA,NA,NA,NA
albany police department,GA,16771801,18390580,NA,NA,19241000
elberton police department,GA,NA,NA,1600000,1700000,1589000
cave spring police department,GA,NA,NA,170000,310000,NA
east point police department,GA,14281290,13430052,12500000,12518430,10924000
alpharetta department of public safety,GA,1e+07,NA,17927900,17979251,14634000
roswell police department,GA,18170498,19556518,2e+07,2e+07,20017568
sandy springs police department,GA,19284350,20815114,19400000,22229000,21887000
east ellijay police department,GA,NA,NA,NA,NA,837900
fairmount police department,GA,NA,NA,NA,NA,NA
whigham police department,GA,NA,236304,270000,280000,NA
greensboro police department,GA,NA,NA,NA,NA,1414839
union point police department,GA,NA,NA,NA,NA,217592
baldwin police department,GA,750000,NA,NA,NA,670000
gainesville police department,GA,8582442,NA,8130395,8349986,10063602
hartwell police department,GA,NA,NA,NA,NA,NA
warner robins police department,GA,8998233,13254589,16297105,16048784,16516000
commerce police department,GA,NA,NA,NA,NA,2389324
maysville police department,GA,NA,NA,260000,280000,NA
wadley police department,GA,NA,NA,320000,420000,NA
valdosta police department,GA,12540940,13887187,1.5e+07,1.6e+07,17291000
hahira police department,GA,NA,NA,9e+05,950000,NA
ideal police department,GA,NA,NA,50000,50000,NA
danielsville police department,GA,NA,NA,220000,230000,NA
buena vista police department,GA,NA,NA,NA,NA,NA
greenville police department,GA,NA,497367,425500,419418,NA
chatsworth police department,GA,NA,NA,1535150,1604451,NA
columbus police department,GA,NA,3.8e+07,26475666,27197848,53533000
fort valley police department,GA,NA,NA,NA,NA,2325000
cedartown police department,GA,NA,NA,NA,NA,2319000
mountain city police department,GA,NA,160000,151186,151186,NA
griffin police department,GA,8923000,9e+06,8560900,9470983,7800000
lumpkin police department,GA,NA,NA,290000,290000,496414
plains police department,GA,NA,NA,NA,NA,NA
glennville police department,GA,NA,NA,NA,NA,932404
reynolds police department,GA,NA,NA,4e+05,530000,NA
meigs police department,GA,NA,NA,NA,NA,NA
ashburn police department,GA,NA,NA,1500000,1700000,NA
sycamore police department,GA,NA,NA,NA,NA,NA
