AGENCYNAME,STATE,budget_2013,budget_2016,OPBUDGET_2019,OPBUDGET2020,opbudget_2021_2022
clarksville police department,AR,NA,NA,1565881,1590136,NA
ravenden police department,AR,NA,NA,81000,83814,NA
marianna police department,AR,NA,NA,NA,NA,NA
ashdown police department,AR,NA,NA,943000,1010000,NA
england police department,AR,NA,NA,NA,NA,NA
russellville police department,AR,3927439,NA,4248121,4248121,NA
jacksonville police department,AR,NA,NA,6512923,6554887,NA
little rock police department,AR,50331498,70548138,77096919,78005577,80200891
n. little rock police department,AR,19500000,21740987,23338228,23790270,NA
maumelle police department,AR,NA,NA,3520676,3935929,4187615
bryant police department,AR,NA,NA,4879244,4987194,5478426
fort smith police department,AR,16779760,15438591,19896590,18427258,NA
cave city police department,AR,NA,NA,371531,349199,NA
ash flat police department,AR,NA,NA,299000,315000,NA
el dorado police department,AR,1407635,NA,4929962,5055447,NA
fairfield bay police department,AR,NA,756095,475000,465000,NA
fayetteville police department,AR,12330883,12499234,14610196,15161638,16682538
springdale police department,AR,12190000,15500910,18732990,19347240,20016320
west fork police department,AR,NA,NA,490580,538217,NA
johnson police department,AR,650000,NA,1083736,1292378,NA
bald knob police department,AR,NA,NA,759783,798750,NA
rose bud police department,AR,NA,NA,189412,190702,NA
saint johns police department,AZ,NA,NA,990000,990000,NA
bisbee police department,AZ,NA,NA,NA,NA,NA
flagstaff police department,AZ,14900000,18386702,22451005,23279589,21331000
fredonia marshal's office,AZ,NA,NA,355000,367000,NA
thatcher police department,AZ,NA,NA,2138358,2176555,NA
avondale police department,AZ,2e+07,20772160,29926300,25332700,26077000
buckeye police department,AZ,NA,NA,20858393,20423324,19892000
chandler police department,AZ,64129770,74608847,91348133,84962353,88300000
el mirage police department,AZ,6340000,NA,8719013,8681443,8609000
gilbert police department,AZ,36254671,44176410,59942830,58715270,61700000
glendale police department,AZ,75355455,84076267,91060979,94394407,103300000
goodyear police department,AZ,NA,NA,27412700,28035400,24628000
mesa police department,AZ,1.55e+08,168569326,198152493,206993517,2.26e+08
peoria police department,AZ,37585854,41926694,NA,NA,56415000
phoenix police department,AZ,5.65e+08,567046552,721210722,745289020,786700000
scottsdale police department,AZ,65646399,98467766,109110143,110418268,155900000
surprise police department,AZ,19074100,24469400,28478300,30127300,32404000
tempe police department,AZ,72113777,77999428,99092331,98559390,109775000
tucson police department,AZ,156367016,167370180,181764789,193274430,186800000
sahuarita police department,AZ,5725250,NA,8500000,9100000,NA
oro valley police department,AZ,1.2e+07,15494595,17531461,17181136,19721000
mammoth police department,AZ,NA,NA,NA,NA,NA
nogales police department,AZ,4831488,NA,6e+06,6e+06,6901000
yuma police department,AZ,NA,32102583,37269852,37230796,10637000
san luis police department,AZ,NA,NA,5591650,5902260,4596000
berkeley police department,CA,58279325,62146931,74979834,70325114,77374364
fremont police department,CA,47329306,61073246,93307865,96540000,101900000
hayward police department,CA,55468090,68542845,81545000,82530000,82559708
oakland police department,CA,2e+08,245535092,317032689,316555702,335800000
union city police department,CA,NA,NA,24937059,26015635,30023995
ione police department,CA,NA,NA,785272,945246,1333235
paradise police department,CA,NA,NA,4433851,5876397,3692997
colusa police department,CA,1046926,NA,1403388,1450490,15431929
antioch police department,CA,NA,NA,39868196,49094667,44591924
concord police department,CA,41455037,NA,60534810,61064744,58860621
hercules police department,CA,NA,5608271,7144000,7635000,8063561
richmond police department,CA,15582013,75139584,71266250,66456204,65875264
kensington police department,CA,NA,NA,2603545,2647076,2513945
martinez police department,CA,NA,NA,1.2e+07,13650683,13662071
moraga police department,CA,NA,NA,2900000,3100000,2850778
clovis police department,CA,2.4e+07,NA,3.9e+07,4e+07,37775540
fresno police department,CA,145552400,159372600,195181200,209496000,2.07e+08
kingsburg police department,CA,NA,NA,2995398,3980013,3267186
orland police department,CA,NA,1961602,2058323,2147907,2286948
bakersfield police department,CA,69631317,88461000,109350815,119972664,113600000
shafter police department,CA,NA,NA,6875136,6528631,6982219
clearlake police department,CA,NA,NA,6242187,6356649,4575544
baldwin park police department,CA,NA,NA,21800000,18800000,18633707
bell police department,CA,5700000,NA,6984076,6841793,9901904
bell gardens police department,CA,11918324,NA,16421422,15389680,15544878
beverly hills police department,CA,53037000,62058552,4856556,6725995,85231762
burbank police department,CA,48738860,50440579,61215850,61792888,58257556
culver city police department,CA,3e+07,3.5e+07,48174584,44688612,44451712
downey police department,CA,30129178,27795535,36459012,39969447,42976632
el monte police department,CA,2.1e+07,23401700,31701296,30287504,34154831
glendale police department,CA,6.8e+07,78417004,94746978,96600000,92802314
inglewood police department,CA,47061600,49895181,72784321,71333069,66354648
long beach police department,CA,199933700,219244230,244095709,238109220,285500000
los angeles police department,CA,1256645232,1442553291,1733838124,1857330549,2845866000
manhattan beach police department,CA,22279907,NA,29619404,30249088,75294609
pasadena police department,CA,6.4e+07,77476292,88714964,91093224,82103074
pomona police department,CA,39803211,49108205,5.4e+07,5.5e+07,56828946
redondo beach police department,CA,NA,NA,44433086,45290009,40673288
santa monica police department,CA,73484000,82255961,100418376,99702850,97318895
torrance police department,CA,66984670,7.8e+07,84319367,85434365,263195288
west covina police department,CA,25148841,NA,37263632,35748168,37510599
whittier police department,CA,30882664,31573879,37149457,39427461,37282468
belvedere police department,CA,NA,NA,1901615,1901615,1547912
mill valley police department,CA,NA,NA,5955930,6397148,6454537
novato police department,CA,NA,NA,14653794,15693457,14105081
sausalito police department,CA,NA,NA,5404657,5794747,6229574
livingston police department,CA,NA,NA,3244170,3993667,3787400
greenfield police department,CA,NA,NA,4762679,4802791,6450790
pacific grove police department,CA,NA,NA,7652674,7125941,6959934
salinas police department,CA,3.5e+07,44548900,53791203,53816983,55841032
marina police department,CA,NA,NA,5860142,7530980,7360447
calistoga police department,CA,NA,NA,3092155,2951884,2983832
anaheim police department,CA,114943826,1.31e+08,153803336,159880225,175200000
costa mesa police department,CA,39085419,42623984,49720046,48481767,50914738
