AGENCYNAME,city,STATE,budget_2013,budget_2016,budget_2019,budget_2020,budget_2021,source_budget_2021
amarillo police department,amarillo,TX,NA,NA,259317,269347,48813000,https://policescorecard.org/
amboy police department,amboy,IL,NA,NA,210000,215000,"235,023",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
amery police department,amery,WI,NA,NA,175000,175000,,
amherst county sheriff's office,amherst,VA,NA,NA,178000,180000,662793,https://amherstva.gov/wp-content/uploads/general/FY-20-21-Amended-Budget-approved-210210.pdf
amherst town police department,amherst,NY,NA,NA,87285,127140,"23,676,450",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
amite county sheriff's department,liberty,MS,NA,NA,66607,90885,,
anacortes police department,anacortes,WA,NA,NA,NA,NA,,
anaheim police department,anaheim,CA,NA,NA,65000,112000,175200000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
anchorage police department,anchorage,AK,NA,NA,NA,NA,128500000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
andale police department,andale,KS,NA,NA,NA,NA,,
anderson county sheriff's office,anderson,SC,NA,NA,NA,NA,18370000,https://policescorecard.org/
anderson police department,anderson,IN,NA,45000,80000,80000,13005000,https://policescorecard.org/
anderson police department,anderson,MO,NA,NA,NA,NA,,
anderson police department,anderson,SC,NA,NA,NA,NA,8477000,https://policescorecard.org/
andrews police department,andrews,IN,NA,NA,32000,45000,206195,https://gateway.ifionline.org/report_builder/Default3a.aspx?rpttype=budget&rpt=DetailedExpenditures&rptName=Line-Item%20Budget%20Estimate
angola police department,angola,IN,NA,NA,25000,25000,2388000,https://policescorecard.org/
ankeny police department,ankeny,IA,NA,NA,NA,NA,11547000,https://policescorecard.org/
ann arbor police department,ann arbor,MI,NA,NA,430150,480550,29409000,https://policescorecard.org/
annapolis police,annapolis,MD,NA,NA,284920,270180,19474000,https://policescorecard.org/
anne arundel county police,millersville,MD,NA,NA,367316,357141,173438000,https://policescorecard.org/
anoka county sheriff's office,andover,MN,NA,NA,NA,NA,51909000,https://policescorecard.org/
anson county sheriff's office,wadesboro,NC,NA,NA,NA,NA,512479,https://www.co.anson.nc.us/ArchiveCenter/ViewFile/Item/85
ansonia police department,ansonia,CT,NA,NA,80000,82000,5470000,https://policescorecard.org/
ansonia police department,ansonia,OH,NA,201109,243000,253000,,
antelope county sheriff's office,neligh,NE,NA,NA,NA,NA,649000,https://policescorecard.org/
antioch police department,antioch,CA,NA,NA,NA,NA,44591924,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
