AGENCYNAME,city,STATE,budget_2013,budget_2016,budget_2019,budget_2020,budget_2021,source_budget_2021
meeker police department,meeker,CO,NA,NA,1990500,1996450,,
meigs police department,meigs,GA,450000,NA,NA,NA,,
melbourne police department,melbourne,FL,NA,NA,NA,NA,18706000,https://policescorecard.org/
memphis police department,memphis,TN,NA,NA,NA,NA,275700000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
menard county sheriff's office,menard,TX,NA,NA,NA,NA,749441,https://www.co.menard.tx.us/upload/page/0199/Approved%202021-2022%20Budget.pdf
mendocino county sheriff's office,ukiah,CA,NA,NA,450000,479000,19159347,https://counties.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_1/Police+Protection/0/entity_name
mendota police department,mendota,IL,NA,NA,5e+05,6e+05,2260774,https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
menlo park police department,menlo park,CA,NA,NA,567961,567961,18372369,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
menomonie police department,menomonie,WI,NA,NA,3e+05,3e+05,,
mentone police department,mentone,IN,NA,NA,536000,556500,108320,https://gateway.ifionline.org/report_builder/Default3a.aspx?rpttype=budget&rpt=DetailedExpenditures&rptName=Line-Item%20Budget%20Estimate
merced county sheriff's department,merced,CA,NA,NA,3783511,NA,31197663,https://counties.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_1/Police+Protection/0/entity_name
mercer county sheriff's office,trenton,NJ,19006145,23558398,26304104,27762802,,
meredith police department,meredith,NH,185269375,186695241,199753347,2.08e+08,1430000,https://policescorecard.org/
meredosia police department,meredosia,IL,NA,NA,NA,NA,41335,https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
meriden police department,meriden,CT,NA,NA,NA,NA,13611000,https://policescorecard.org/
meridian police department,meridian,ID,NA,NA,NA,NA,21669000,https://policescorecard.org/
merrillan police department,merrillan,WI,NA,454811,NA,NA,,
merrimack county sheriff's office,boscawen,NH,NA,NA,25000,25000,7518000,https://policescorecard.org/
mesa county sheriff's office,grand junction,CO,NA,NA,965000,939000,43586000,https://policescorecard.org/
mesa police department,mesa,AZ,NA,NA,NA,NA,226000000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
meshoppen borough police department,meshoppen borough,PA,NA,NA,NA,NA,169657,https://dced.pa.gov/local-government/municipal-statistics/
mesquite police department,mesquite,TX,NA,19481700,20404800,21197761,40578000,https://policescorecard.org/
metamora township police department,metamora,MI,NA,1692812,1922120,1864145,525770,https://micommunityfinancials.michigan.gov/#!/browse?filterType=CITY&lat=44.022893636582694&lng=-83.88786025699642&zoom=6.586616922592568&year=2021&showSidebar=yes
metcalfe police department,metcalfe,MS,82747000,101156000,NA,NA,,
methuen police department,methuen,MA,NA,NA,420000,420000,10602000,https://policescorecard.org/
metro nashville police department,nashville,TN,3e+06,NA,2760078,2760078,246100000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
metropolitan police department - dc,washington,NA,NA,NA,12050004,12050004,516800000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
mexico police department,mexico,ME,NA,NA,1528019,1842756,,
miami beach police department,miami beach,FL,NA,NA,NA,NA,123541000,https://policescorecard.org/
miami gardens police department,miami gardens,FL,NA,NA,375000,375000,,
miami police department,miami,FL,NA,NA,3876231,3173048,288100000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
miami township police department - montgomery,miamisburg,OH,NA,NA,8e+05,8e+05,,
miami-dade police department,doral,FL,NA,NA,NA,NA,798301000,https://policescorecard.org/
middlebury police department,new haven,CT,1.9e+07,22616260,25005500,25718420,,
middlesex county sheriff's office,new brunswick,NJ,NA,NA,3117495,3256340,,
middlesex sheriff's office,medford,MA,NA,NA,NA,NA,,
middletown city police department,middletown,NY,34893930,38846430,46944140,48893510,"10,563,750",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
middletown police department,middletown,CT,NA,NA,4e+05,450000,15194000,https://policescorecard.org/
middletown police department,middletown,IN,NA,NA,1200000,1400000,492425,https://gateway.ifionline.org/report_builder/Default3a.aspx?rpttype=budget&rpt=DetailedExpenditures&rptName=Line-Item%20Budget%20Estimate
middletown township police,middletown,NJ,NA,NA,1419339,1733961,16015000,https://policescorecard.org/
midland county sheriff's office,midland,TX,NA,NA,41684130,41301311,16737000,https://policescorecard.org/
midland police department,midland,MI,165251729,197306873,235876509,227243205,9227000,https://policescorecard.org/
midland police department,midland,TX,NA,NA,3086855,3480865,27535000,https://policescorecard.org/
mifflin township police department,columbus,OH,NA,NA,NA,NA,,
mifflinburg borough police department,mifflinburg borough,PA,NA,NA,5640830,5770585,907360,https://dced.pa.gov/local-government/municipal-statistics/
milan police department,milan,MI,3213345,NA,3496239,3420866,2004000,https://policescorecard.org/
milford police department,milford,IA,NA,NA,NA,NA,,
milford police department,milford (balance),CT,27407366,29689996,33945475,34684289,15240000,https://policescorecard.org/
mill valley police department,mill valley,CA,28567121,31451791,38658741,40435882,6454537,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
millard county sheriff's office,fillmore,UT,1123507,1247848,1400000,1600000,4205000,https://policescorecard.org/
millbrook police department,millbrook,AL,1341487,1329555,1410148,1276327,2210000,https://policescorecard.org/
mille lacs county sheriff's office,milaca,MN,713885,766830,609000,666456,,
milledgeville police department,milledgeville,IL,NA,NA,2194226,2369883,185499,https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
miller police department,miller,SD,NA,3900000,NA,NA,384000,https://policescorecard.org/
millersville police department,goodlettsville,TN,NA,NA,2e+06,2e+06,1077000,https://policescorecard.org/
millerton village police department,millerton,NY,NA,NA,NA,NA,"91,851",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
millinocket police department,millinocket,ME,1544704,NA,1712682,1657676,407000,https://policescorecard.org/
milltown police department,milltown,IN,NA,NA,696112,809503,,
millvale borough police department,millvale borough,PA,NA,NA,3020000,3500000,1125241,https://dced.pa.gov/local-government/municipal-statistics/
milpitas police department,milpitas,CA,NA,NA,2873658,3081308,34802445,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
milton borough police department,milton borough,PA,NA,NA,2900000,2900000,970565,https://dced.pa.gov/local-government/municipal-statistics/
milton police department,milton,WV,NA,NA,315736,308080,,
milton township police department,lake milton,OH,5e+05,NA,750000,8e+05,,
milwaukee county sheriff's office,milwaukee,WI,NA,NA,1e+05,1e+05,298319000,https://policescorecard.org/
milwaukee police department,milwaukee,WI,NA,NA,1169941,1203133,280400000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
minco police department,minco,OK,1052700,NA,1385380,1461800,,
minden police department,minden,LA,NA,NA,244217,261526,2846000,https://policescorecard.org/
minden police department,minden,NE,NA,150000,177000,179216,499000,https://policescorecard.org/
mineral county sheriff's office,creede,CO,NA,NA,2e+06,2e+06,699000,https://policescorecard.org/
mineral point police department,mineral point,WI,NA,NA,795000,865000,,
minneapolis police department,minneapolis,MN,NA,NA,40000,42000,193100000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
minnehaha county sheriff's office,sioux falls,SD,NA,NA,598000,619000,9371000,https://policescorecard.org/
minnetonka police department,minnetonka,MN,NA,NA,NA,NA,12035000,https://policescorecard.org/
minong police department,minong,WI,NA,NA,NA,NA,,
minor hill police department,minor hill,TN,NA,NA,2150000,2275462,,
miramar police department,mirmar,FL,2.8e+07,1.7e+07,NA,NA,47995000,https://policescorecard.org/
mishawaka police department,mishawaka,IN,NA,NA,1263950,1342885,12387000,https://policescorecard.org/
mission police department,mission,SD,NA,NA,950000,1e+06,,
mission police department,mission,TX,NA,NA,NA,NA,17433000,https://policescorecard.org/
missoula police department,missoula,MT,NA,NA,3e+05,3e+05,19786000,https://policescorecard.org/
missouri city police department,missouri,TX,NA,NA,189003,197196,11615000,https://policescorecard.org/
missouri valley police department,missouri valley,IA,NA,1028452,1203104,1147089,,
mitchell county sheriff's department,beloit,KS,985000,NA,NA,NA,,
mitchellville police department,mitchellville,IA,21762700,NA,NA,NA,,
mize police department,mize,MS,19698254,9500000,NA,NA,,
mobile county sheriff's office,mobile,AL,NA,NA,8101488,7907262,47844000,https://policescorecard.org/
mobile police department,mobile,AL,NA,NA,NA,NA,61030000,https://policescorecard.org/
mocksville police department,mocksville,NC,NA,NA,3250000,3528000,"2,037,278",
modesto police department,modesto,CA,NA,3720450,4340000,4188000,32912754,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
mohave county sheriff's office,kingman,AZ,NA,NA,NA,NA,13642000,https://policescorecard.org/
mondovi police department,mondovi,WI,2100000,NA,2300000,2300000,,
monongahela city police department,monongahela,PA,NA,NA,NA,NA,1154561,https://dced.pa.gov/local-government/municipal-statistics/
monroe city police department,monroe,MO,NA,NA,2e+05,2e+05,614701,https://auditor.mo.gov/LocalGov/ViewReportFile/51482
monroe county sheriff's office,key west,FL,NA,NA,350178,376565,54689000,https://policescorecard.org/
monroe county sheriff's office,waterloo,IL,NA,NA,NA,NA,"4,460,666",https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
monroe county sheriff's office,rochester,NY,NA,NA,190512,187617,"58,256,190",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
monroe county sheriff's office,stroudsburg,PA,1120000,1200000,NA,NA,"4,920,425",https://dced.pa.gov/local-government/municipal-statistics/
monroe police department,monroe,LA,NA,NA,3046473,3525233,18188000,https://policescorecard.org/
monroe police department,monroe,MI,NA,NA,5748733,5788948,1242000,https://micommunityfinancials.michigan.gov/#!/browse?filterType=CITY&lat=44.022893636582694&lng=-83.88786025699642&zoom=6.586616922592568&year=2021&showSidebar=yes
monroe police department,monroe,WA,NA,NA,1500000,1500000,,
montclair police,montclair,NJ,NA,NA,1100000,1300000,14614000,https://policescorecard.org/
monterey county sheriff's office,salinas,CA,545000,NA,NA,NA,54528324,https://counties.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_1/Police+Protection/0/entity_name
montesano police department,montesano,WA,NA,NA,2400000,2400000,,
montgomery city police department,montgomery,MO,NA,NA,NA,NA,,
montgomery county police,gaithersburg,MD,NA,NA,1227600,1309149,,
montgomery county sheriff's department,crawfordsville,IN,NA,NA,80000,80000,25561321,https://www.montgomerycountymd.gov/OMB/Resources/Files/omb/pdfs/FY21/psp_pdf/48-Sheriff-FY2021-APPR-Publication-Report.pdf
montgomery county sheriff's office,dayton,OH,NA,NA,639000,841000,60694000,https://policescorecard.org/
montgomery county sheriff's office,norristown,PA,NA,NA,NA,NA,"38,195,099",https://dced.pa.gov/local-government/municipal-statistics/
montgomery county sheriff's office,clarksville,TN,NA,NA,608791,629731,17961000,https://policescorecard.org/
montgomery county sheriff's office,conroe,TX,NA,NA,4380010,4545248,52466000,https://policescorecard.org/
montgomery county sheriff's office,christiansburg,VA,NA,16837039,NA,NA,9688000,https://policescorecard.org/
montgomery county sheriff's office,montgomery,AL,NA,NA,918938,949918,15401000,https://policescorecard.org/
montgomery police department,montgomery,AL,NA,NA,NA,NA,46591000,https://policescorecard.org/
montgomery police department,montgomery,MN,NA,NA,3464016,3464016,,
montgomery police department,montgomery,TX,NA,NA,1544922,1564909,,
monticello village police department,monticello,NY,NA,NA,962000,962000,"2,309,200",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
montreat police department,montreat,NC,NA,NA,1050000,1124521,460939,https://townofmontreat.org/wp-content/uploads/2022/07/MONTREAT-2021-FINANCIAL-STATEMENTS-FINAL.pdf
montrose township police department,montrose,MI,NA,27753795,31189051,28858203,804090,https://micommunityfinancials.michigan.gov/#!/browse?filterType=CITY&lat=44.022893636582694&lng=-83.88786025699642&zoom=6.586616922592568&year=2021&showSidebar=yes
montvale police,montvale,NJ,NA,NA,2921315,3134561,,
montville police department,uncasville,CT,22856177,NA,30569540,37117215,,
mooreland police department,mooreland,OK,NA,NA,850000,825000,,
mooringsport police department,mooringsport,LA,NA,NA,NA,NA,29663,https://app.lla.la.gov/publicreports.nsf/0/9bda75e768b041fc862587cf0062f83e/$file/000258e1.pdf
moraga police department,moraga,CA,NA,NA,142299,142205,2850778,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
moraine police department,moraine,OH,NA,NA,814454,842171,,
moran police department,moran,KS,NA,NA,224810,224810,73000,https://policescorecard.org/
moreauville police department,moreauville,LA,NA,NA,80000,80000,,
morehead police department,morehead,KY,NA,NA,NA,NA,1797000,https://policescorecard.org/
morehouse parish sheriff's office,bastrop,LA,19476030,24583239.5,10956666,10791556,9571303,https://app.lla.la.gov/publicreports.nsf/0/682270414feaa4d886258943006bb724/$file/00000957.pdf
morgan county sheriff's office,jacksonville,IL,NA,NA,3694380,3813114,1096926,https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
morgan county sheriff's office,west liberty,KY,NA,NA,7507534,7569181,,
morgan county sheriff's office,wartburg,TN,NA,NA,NA,NA,1906000,https://policescorecard.org/
morgan county sheriff's office,decatur,AL,NA,NA,2200000,2300000,20396000,https://policescorecard.org/
morganfield police department,morganfield,KY,1500000,NA,1605372,1861711,478000,https://policescorecard.org/
morgans point resort police department,belton,TX,NA,NA,713895,815684,77253,https://www.morganspointresorttx.com/DocumentCenter/View/10729/RG-PROPOSED-BUDGET-WORKSHEET---FYE-09302022?bidId=
morgantown police department,morgantown,WV,NA,NA,45000,50000,,
morrice police department,morrice,MI,NA,1267689,1409981,1603198,116140,https://micommunityfinancials.michigan.gov/#!/browse?filterType=CITY&lat=44.022893636582694&lng=-83.88786025699642&zoom=6.586616922592568&year=2021&showSidebar=yes
morrill county sheriff's office,bridgeport,NE,NA,NA,NA,NA,,
morris police department,morris,MN,31867264,3.6e+07,38670975,40309036,1046000,https://policescorecard.org/
morrison police department,morrison,IL,NA,NA,820000,850000,588650,https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
morristown police department,morristown,TN,695000,NA,650000,650000,8367000,https://policescorecard.org/
morristown police department,morrisville,VT,NA,NA,NA,NA,1288000,https://policescorecard.org/
morton police department,morton,WA,NA,NA,2349312,2517308,,
moscow mills police department,moscow mills,MO,NA,NA,240000,281447,758193,https://moscowmillsmo.com/financials/
mount carroll police department,mount carroll,IL,NA,NA,NA,NA,0,https://illinoiscomptroller.gov/constituent-services/local-government/local-government-warehouse/landingpage?code=001/000/00
mount ephraim police,mount ephraim,NJ,NA,NA,8e+05,860130,,
mount horeb police department,mount horeb,WI,NA,NA,60000,60000,,
mount juliet police department,mount juliet,TN,NA,NA,NA,NA,7776000,https://policescorecard.org/
mount morris police department,mount morris,MI,NA,788495,923484,929435,3730000,https://micommunityfinancials.michigan.gov/#!/browse?filterType=CITY&lat=44.022893636582694&lng=-83.88786025699642&zoom=6.586616922592568&year=2021&showSidebar=yes
mount pleasant police department,mount pleasant,SC,1179969,NA,1370082,1349251,16435000,https://policescorecard.org/
