location,is_city,zip,County,STATE,City
west louisville_KY,1,40202,NA,KY,west louisville
vanceburg_KY,1,41179,NA,KY,vanceburg
paducah_KY,1,42003,NA,KY,paducah
salyersville_KY,1,41465,NA,KY,salyersville
west liberty_KY,1,41472,NA,KY,west liberty
morehead_KY,1,40351,NA,KY,morehead
taylorsville_KY,1,40071,NA,KY,taylorsville
bedford_KY,1,40006,NA,KY,bedford
dixon_KY,1,42409,NA,KY,dixon
oberlin_LA,1,70655,NA,LA,oberlin
donaldsonville_LA,1,70346,NA,LA,donaldsonville
marksville_LA,1,71351,NA,LA,marksville
benton_LA,1,71006,NA,LA,benton
shreveport_LA,1,71101,NA,LA,shreveport
lake charles_LA,1,70615,NA,LA,lake charles
columbia_LA,1,71418,NA,LA,columbia
harrisonburg_LA,1,71340,NA,LA,harrisonburg
baton rouge_LA,1,70821,NA,LA,baton rouge
winnsboro_LA,1,71295,NA,LA,winnsboro
colfax_LA,1,71417,NA,LA,colfax
new iberia_LA,1,70560,NA,LA,new iberia
plaquemine_LA,1,70764,NA,LA,plaquemine
harvey_LA,1,70058,NA,LA,harvey
jennings_LA,1,70546,NA,LA,jennings
lafayette_LA,1,70501,NA,LA,lafayette
thibodaux_LA,1,70301,NA,LA,thibodaux
livingston_LA,1,70754,NA,LA,livingston
bastrop_LA,1,71220,NA,LA,bastrop
natchitoches_LA,1,71458,NA,LA,natchitoches
monroe_LA,1,71201,NA,LA,monroe
belle chasse_LA,1,70037,NA,LA,belle chasse
alexandria_LA,1,71301,NA,LA,alexandria
rayville_LA,1,71269,NA,LA,rayville
chalmette_LA,1,70043,NA,LA,chalmette
hahnville_LA,1,70057,NA,LA,hahnville
convent_LA,1,70723,NA,LA,convent
laplace_LA,1,70068,NA,LA,laplace
opelousas_LA,1,70571,NA,LA,opelousas
st. martinville_LA,1,70582,NA,LA,st. martinville
franklin_LA,1,70538,NA,LA,franklin
covington_LA,1,70433,NA,LA,covington
hammond_LA,1,70403,NA,LA,hammond
houma_LA,1,70361,NA,LA,houma
farmerville_LA,1,71241,NA,LA,farmerville
abbeville_LA,1,70510,NA,LA,abbeville
leesville_LA,1,71496,NA,LA,leesville
franklinton_LA,1,70438,NA,LA,franklinton
minden_LA,1,71058,NA,LA,minden
medford_MA,1,2155,NA,MA,medford
plymouth_MA,1,2360,NA,MA,plymouth
baltimore_MD,1,21202,NA,MD,baltimore
prince frederick_MD,1,20678,NA,MD,prince frederick
westminster_MD,1,21157,NA,MD,westminster
la plata_MD,1,20646,NA,MD,la plata
frederick_MD,1,21701,NA,MD,frederick
bel air_MD,1,21015,NA,MD,bel air
chestertown_MD,1,21620,NA,MD,chestertown
leonardtown_MD,1,20650,NA,MD,leonardtown
hagerstown_MD,1,21740,NA,MD,hagerstown
salisbury_MD,1,21801,NA,MD,salisbury
snow hill_MD,1,21863,NA,MD,snow hill
houlton_ME,1,4730,NA,ME,houlton
south paris_ME,1,4281,NA,ME,south paris
